"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 31 20:52:20 UTC 2024","Thu Oct 31 20:52:27 UTC 2024","6916","KZ - Portal","","Profile Area > Bank Account","","","PRO-5: Verify that User can go back to My profile page when clicking on Back icon in Bank Accounts page",""
"failed","Thu Oct 31 20:50:04 UTC 2024","Thu Oct 31 20:50:16 UTC 2024","12023","KZ - Portal","","Deposit Area","","","DEP-11: Verify error displays when submit deposit with amount < 100",""
"passed","Thu Oct 31 20:53:41 UTC 2024","Thu Oct 31 20:53:47 UTC 2024","6001","KZ - Portal","","Profile Area > Bet History","","","PRO-23: Verify that all records display full information",""
"skipped","Thu Oct 31 20:50:56 UTC 2024","Thu Oct 31 20:50:56 UTC 2024","0","KZ - Portal","","Deposit Area > Prompt Pay","","","DEP-2: Verify Prompt Pay deposit method popup displays correctly",""
"passed","Thu Oct 31 20:51:12 UTC 2024","Thu Oct 31 20:51:21 UTC 2024","8507","KZ - Portal","","Games Area","","","GAM-4: Verify latest opened game is displayed in first position in Popular",""
"passed","Thu Oct 31 20:51:05 UTC 2024","Thu Oct 31 20:51:12 UTC 2024","7481","KZ - Portal","","Games Area","","","GAM-5: Verify game provider pages displays",""
"skipped","Thu Oct 31 20:50:56 UTC 2024","Thu Oct 31 20:50:56 UTC 2024","0","KZ - Portal","","Deposit Area > Thai QR","","","DEP-3: Verify Thai QR deposit method popup displays correctly",""
"passed","Thu Oct 31 20:54:58 UTC 2024","Thu Oct 31 20:55:01 UTC 2024","3586","KZ - Portal","","Register Area","","","REG-4: Verify that users cannot register with phone numbers that are less than 10 digits or more than 10 digits long",""
"passed","Thu Oct 31 20:55:12 UTC 2024","Thu Oct 31 20:55:17 UTC 2024","4445","KZ - Portal","","Register Area > Grouping tests that submit valid phone number","","","REG-15: Verify that User can go back to previous page when clicking on Back icon",""
"passed","Thu Oct 31 20:54:51 UTC 2024","Thu Oct 31 20:54:54 UTC 2024","2787","KZ - Portal","","Register Area","","","REG-1: Verify Register page displays",""
"passed","Thu Oct 31 20:57:01 UTC 2024","Thu Oct 31 20:57:09 UTC 2024","8054","KZ - Portal","","Withdraw Area","","","WIT-2: Verify user is not able continue with amount greater than available credit",""
"passed","Thu Oct 31 20:55:01 UTC 2024","Thu Oct 31 20:55:07 UTC 2024","5727","KZ - Portal","","Register Area > Grouping tests that submit valid phone number","","","REG-6: Verify that Enter OTP page displays when user inputs valid number phone",""
"skipped","Thu Oct 31 20:50:56 UTC 2024","Thu Oct 31 20:50:56 UTC 2024","0","KZ - Portal","","Deposit Area > Bank Transfer","","","DEP-4: Verify Bank Transfer deposit method popup displays correctly",""
"passed","Thu Oct 31 20:54:40 UTC 2024","Thu Oct 31 20:54:45 UTC 2024","5708","KZ - Portal","","Profile Area > Change PIN","","","PRO-40: Verify that the page is navigated to Re-enter new PIN page after inputting new PIN",""
"passed","Thu Oct 31 20:54:54 UTC 2024","Thu Oct 31 20:54:58 UTC 2024","3656","KZ - Portal","","Register Area","","","REG-2: Verify that user cannot register with an empty phone number",""
"passed","Thu Oct 31 20:54:30 UTC 2024","Thu Oct 31 20:54:36 UTC 2024","6042","KZ - Portal","","Profile Area > Language","","","PRO-37: Verify that user is able to switch the language",""
"passed","Thu Oct 31 20:52:52 UTC 2024","Thu Oct 31 20:52:58 UTC 2024","6371","KZ - Portal","","Profile Area > Transaction History","","","PRO-13: Verify user can filter transaction type: All Transactions",""
"passed","Thu Oct 31 20:52:58 UTC 2024","Thu Oct 31 20:53:06 UTC 2024","8072","KZ - Portal","","Profile Area > Transaction History","","","PRO-14: Verify user can filter transaction type: Deposit",""
"passed","Thu Oct 31 20:54:15 UTC 2024","Thu Oct 31 20:54:23 UTC 2024","8273","KZ - Portal","","Profile Area > Bet History","","","PRO-33: Verify that User can filter data with date range",""
"failed","Thu Oct 31 20:49:57 UTC 2024","Thu Oct 31 20:50:09 UTC 2024","12011","KZ - Portal","","Deposit Area","","","DEP-9: Verify error displays when submit deposit without value",""
"passed","Thu Oct 31 20:51:51 UTC 2024","Thu Oct 31 20:51:57 UTC 2024","6785","KZ - Portal","","Games Area > Search game page","","","GAM-15: Verify user is able to back to Games page when clicking on Back icon in Search page",""
"passed","Thu Oct 31 20:55:17 UTC 2024","Thu Oct 31 20:55:23 UTC 2024","5936","KZ - Portal","","Register Area > Grouping tests that submit valid phone number","","","REG-11: Verify that Create new PIN displays if User input valid OTP code",""
"passed","Thu Oct 31 20:54:48 UTC 2024","Thu Oct 31 20:54:55 UTC 2024","6503","KZ - Portal","","Profile Area > Change PIN","","","PRO-43: Verify that User can go back to My profile page when clicking on Back icon",""
"passed","Thu Oct 31 20:54:07 UTC 2024","Thu Oct 31 20:54:14 UTC 2024","6696","KZ - Portal","","Profile Area > Bet History","","","PRO-30: Verify that User can reset selected data when clicking on the first date of date range",""
